"","Veh_Mock_R1","Veh_Mock_R2","Veh_Mock_R3","Amp_Mock_R1","Amp_Mock_R2","Amp_Mock_R3","Amp_Tri_R1","Amp_Tri_R2","Amp_Tri_R3"
"18814",0,0,0,0,0,0,0,0,0
"18815",0,0,0,4,1,1,2,1,4
"18816",11,16,12,18,10,13,12,14,10
"18817",2980,3304,2559,3315,2646,3161,2970,4278,2333
"18821",1,0,0,0,0,1,0,0,0
"18822",324,392,375,215,176,263,363,448,313
"18823",43,49,30,64,69,73,37,57,52
"18824",4505,4973,4356,5076,3997,4955,3920,5143,3304
"18826",1140,1398,1254,1535,1429,1854,1304,1832,1029
"18828",38,23,43,45,52,104,66,69,54
"18830",95,120,103,29,34,47,58,127,71
"18843",0,0,0,0,0,0,0,0,0
"18844",811,962,912,907,897,1129,1037,1124,667
"18845",1261,1805,1516,1627,1535,2184,1616,1657,1125
"18846",141,170,183,139,145,198,239,334,198
"18854",1460,1804,1816,1491,1273,1607,1508,2140,1438
"18857",0,0,0,0,0,0,0,0,0
"18858",19958,28148,23465,13267,11484,15960,14448,16557,11887
"18861",359,438,464,445,375,502,389,560,428
"18933",9,6,7,2,7,11,12,11,7
"18935",0,0,0,0,0,0,0,0,0
"18938",3265,3525,3638,3623,3145,3723,3002,3780,2734
"18946",2,1,5,1,5,4,4,4,1
"18947",12,22,13,42,52,54,46,73,43
"18948",0,0,0,0,0,0,0,0,0
"18949",3933,4340,4596,4440,3902,5383,4498,5235,3766
"18950",3476,3867,3927,3399,3071,4178,3602,4819,3971
"18951",6218,8265,6997,6274,6003,7463,5916,7584,5396
"18952",10,12,10,6,5,11,10,16,12
"18968",710,1006,944,749,645,1003,863,1239,788
"18969",1428,1546,1615,1636,1413,1851,1754,2373,1613
"18970",738,723,862,585,583,737,707,840,695
"18971",1536,1699,1790,1479,1260,1687,1506,1886,1287
